,quant_tracking,quant_tracking_bounded,quant_tracking_monotonic,quant_tracking_proj
0.88,3.5597533547537807e-06,0.28870007415126364,0.00042847605603968386,0.033195919463351875
0.89,3.6896468397218385e-06,0.2897743738966052,0.0005311490176133082,0.0330302067299606
0.9,1.491535535858013e-06,0.2903676635095831,0.000699449542763797,0.032691999927438875
0.91,2.397430617362417e-06,0.28848672746129667,0.0007815030333488959,0.031814582872827346
0.92,2.416466731491873e-06,0.2841893224419886,0.0009541269959645327,0.031110990175797437
0.93,8.834996529927253e-07,0.27643483031095817,0.0009900638202525736,0.030450410138679218
0.94,2.1219668471239572e-06,0.264338941820484,0.0010017228803118616,0.02929562794205942
0.95,2.978591985280943e-07,0.24435333424258765,0.0011382073400121318,0.02754864567005666
0.96,3.157755413818464e-06,0.20928502706599494,0.0012610563430909272,0.025545139441776166
0.97,1.9573604479461437e-06,0.14598677953066796,0.0013224903626872786,0.02136084701302099
0.98,2.641540787662322e-06,0.05479703918998413,0.0013381402880993098,0.01650675434924831
0.99,2.438862160003552e-06,3.8800079817269406e-05,0.0012273019533068918,0.009357027248741767
